role,org,cell,salary_mid_usd,firm_rank,firm,firm_grade,why
"Engineer, Robotics and Hardware",AndonLabs,ai-research,140000,5,X4 Technology,C,"Runs a genuine hardware & electronics and embedded-engineering desk reaching robotics/hardware ICs, with US coverage."
Research Scientist,FAR AI,ai-research,137500,1,Lateral Labs,A,"Built for ML/AI research ICs including research science at frontier labs, US/SF for this on-site role."
Research Scientist,FAR AI,ai-research,137500,2,Axica,A,"Dedicated PhD-calibre Research Scientist practice plus alignment/interpretability, exactly matching FAR AI's safety research (cross-border frontier network)."
Research Scientist,FAR AI,ai-research,137500,3,Stellar Search,B,Runs a Research Engineers & Scientists practice for high-bar AI startups with US/SF reach.
Research Scientist,FAR AI,ai-research,137500,4,Vector,B,Places the research/research-engineering profile (pre/post-training) where lab pedigree matters; US.
Research Scientist,FAR AI,ai-research,137500,5,DeepRec.ai,B,"Posts live Senior Deep Learning Research Scientist mandates, reaching this population in the US and globally."
"Associate, AI and Advanced Computing",Schmidt Sciences,,,1,Phillips Oppenheim,A,"NY-based with a deep philanthropy/foundation search practice, a geographic and sector fit for a foundation operations associate."
"Associate, AI and Advanced Computing",Schmidt Sciences,,,2,Scion Executive Search,A,"Names operations as a placed nonprofit/foundation function, covering the US."
"Associate, AI and Advanced Computing",Schmidt Sciences,,,3,LeaderFit,A,"Names Operations and People desks serving foundations, reaching this operational role."
"Associate, AI and Advanced Computing",Schmidt Sciences,,,4,On-Ramps,B,"NY-based social-sector search serving foundations, a geographic fit."
"Associate, AI and Advanced Computing",Schmidt Sciences,,,5,Sandler Search,B,"NY-based nonprofit/foundation search, fitting the location and sector."
"Team Lead, GenAI Safety",Alice,cyber-offensive,133500,1,RedBlue Security,A,"Purest offensive boutique in the cell and US-headquartered, and its CISO/leadership search arm fits a team-lead hire that pairs red-team depth with management."
"Team Lead, GenAI Safety",Alice,cyber-offensive,133500,2,Code Red Partners,B,US-based (SF/NY) builder of founding and scaling security teams for AI-native orgs that posts hands-on Offensive Security Technical Lead mandates mirroring this lead role.
"Team Lead, GenAI Safety",Alice,cyber-offensive,133500,3,C-Serv,B,"Explicitly sources adversarial-ML engineers and ML researchers alongside cyber, reaching GenAI-safety-adjacent talent, with US staff for a New York brief."
"Team Lead, GenAI Safety",Alice,cyber-offensive,133500,4,Hamilton Barnes,B,"Runs a genuine red-team/adversary-simulation desk with North American coverage, reaching hands-on offensive talent for a US-based lead."
Executive Assistant to Jeffrey Ladish,Palisade Research,nonprofit-ops-exec,132500,1,Impact Ops,B,"Literally runs recruitment and operations for AI-safety nonprofits (placed an Operations Lead for an AI-safety org), the closest possible match for an ops/EA hire at Palisade."
Executive Assistant to Jeffrey Ladish,Palisade Research,nonprofit-ops-exec,132500,2,Scion Executive Search,A,"San Francisco-headquartered nonprofit search that names operations among its functions, giving strong Bay Area geographic fit."
Executive Assistant to Jeffrey Ladish,Palisade Research,nonprofit-ops-exec,132500,3,LeaderFit,A,"Names Operations and People/Talent among the functions it staffs for mission-driven orgs, reaching the operations population this EA role sits in."
Executive Assistant to Jeffrey Ladish,Palisade Research,nonprofit-ops-exec,132500,4,Stacy Nelson & Associates,B,"San Francisco Bay Area boutique nonprofit recruiter, the most geographically local option on the bench for this seat."
Executive Assistant to Jeffrey Ladish,Palisade Research,nonprofit-ops-exec,132500,5,Phillips Oppenheim,A,"US nonprofit specialist with a deep operations/COO track record, best used to reach the broader ops function though it is a senior-search house."
Senior Digital Manager,New Movement Organization for AI Regulation,nonprofit-ops-exec,132500,1,Chaloner,B,"Its evidenced heritage is communications, marketing and development leadership for mission-driven orgs, the closest bench match for a senior digital/comms manager."
Senior Digital Manager,New Movement Organization for AI Regulation,nonprofit-ops-exec,132500,2,LeaderFit,A,"Explicitly names Communications and External Affairs among functions it staffs for nonprofits, directly covering the comms sub-market this role sits in."
Senior Digital Manager,New Movement Organization for AI Regulation,nonprofit-ops-exec,132500,3,Scion Executive Search,A,"US national nonprofit search listing marketing and communications among its functions, covering a New York / remote-US brief."
Senior Digital Manager,New Movement Organization for AI Regulation,nonprofit-ops-exec,132500,4,Cooper Coleman,B,Nonprofit search rooted in fundraising/development with adjacent communications reach and national US coverage for a remote-US seat.
Senior Digital Manager,New Movement Organization for AI Regulation,nonprofit-ops-exec,132500,5,On-Ramps,B,Established US social-sector search reaching senior functional leadership across mission-driven orgs; qualify for the specific comms/digital specialism.
Principal Engineer,AI Whistleblower Initiative,ai-research,101600,1,Thayon,A,"London single-discipline frontier-AI search placing research and inference engineers hands-on, ideal for a senior AI software-engineering IC in the UK."
Principal Engineer,AI Whistleblower Initiative,ai-research,101600,2,Axica,A,"UK-first ML-engineering and research practice ('one discipline'), a direct fit for a Principal Engineer at a frontier AI org in London."
Principal Engineer,AI Whistleblower Initiative,ai-research,101600,3,ESPSG AI,B,"London AI/ML boutique leaning to production ML systems, LLM engineering and AI infrastructure, matching the software-engineering emphasis of a Principal Engineer."
Principal Engineer,AI Whistleblower Initiative,ai-research,101600,4,Understanding Recruitment,B,"UK software-engineering house with a named ML/AI vertical, well suited to a senior software-engineering IC hire at an AI org."
Principal Engineer,AI Whistleblower Initiative,ai-research,101600,5,DeepRec.ai,B,"UK deep-tech recruiter that lists research-engineer and ML roles on its own site, reaching hands-on senior engineers in the London market."
"Senior Data Scientist, Safety",Faculty,ai-research,0,1,Axica,A,"Runs a named AI Safety & Alignment practice (interpretability, evals, red-teaming) alongside research scientists, the single best fit for a UK safety-focused data-science research hire."
"Senior Data Scientist, Safety",Faculty,ai-research,0,2,Thayon,A,"London frontier-AI search placing research scientists and engineers hands-on, matching the research-plus-engineering blend of this role."
"Senior Data Scientist, Safety",Faculty,ai-research,0,3,Harnham,B,"Self-described global leader in Data & AI with a deep data-science book and a London base, the strongest match for the data-scientist title."
"Senior Data Scientist, Safety",Faculty,ai-research,0,4,Higher (Higher Search),B,"London AI/data-science recruiter that places research scientists and ML engineers, reaching the data-science research population in the UK."
"Senior Data Scientist, Safety",Faculty,ai-research,0,5,MKS Partners,B,"UK firm with a frontier-AI vertical explicitly covering RLHF and alignment research, relevant to the 'Safety' focus of this data-science role."
"Head of Programme, Security and Technology","United Nations, Institute for Disarmamen",nonprofit-ops-exec,0,1,Prospectus,B,"UK not-for-profit search with a named global-development specialism and board/leadership exec search, the nearest bench fit for an international-policy Head of Programme and geographically closer to Geneva than the US houses."
"Head of Programme, Security and Technology","United Nations, Institute for Disarmamen",nonprofit-ops-exec,0,2,LeaderFit,A,"Names Policy and External Affairs among the functions it staffs for mission-driven orgs, matching the policy leadership of this UN role despite being US-based."
"Head of Programme, Security and Technology","United Nations, Institute for Disarmamen",nonprofit-ops-exec,0,3,Sandler Search,B,"Retained social-sector executive search placing senior executives 'around the globe,' giving international reach for a Geneva-based leadership hire."
"Head of Programme, Security and Technology","United Nations, Institute for Disarmamen",nonprofit-ops-exec,0,4,NPAG,B,"High-volume nonprofit/foundation executive search operating nationally and globally, reaching senior programme leadership for an international institution."
"Senior Manager, Talent Acquisition",LawZero,nonprofit-ops-exec,0,1,LeaderFit,A,"Names People/Talent as a function it staffs for mission-driven orgs, the most direct match for a senior talent-acquisition leadership hire."
"Senior Manager, Talent Acquisition",LawZero,nonprofit-ops-exec,0,2,Scion Executive Search,A,"US national nonprofit search that lists human resources among its functions, with North American coverage reaching Montreal."
"Senior Manager, Talent Acquisition",LawZero,nonprofit-ops-exec,0,3,Impact Ops,B,"Runs recruitment and talent operations for high-impact/AI-adjacent orgs, directly relevant to a talent-acquisition leader at a mission-driven AI-safety org."
"Senior Manager, Talent Acquisition",LawZero,nonprofit-ops-exec,0,4,Stacy Nelson & Associates,B,"Nonprofit search whose core recruiters include HR professionals, giving it genuine people-function pedigree for a TA hire."
"Senior Manager, Talent Acquisition",LawZero,nonprofit-ops-exec,0,5,Cooper Coleman,B,Retained US nonprofit search reaching senior functional leadership with national North American coverage relevant to a Canadian seat.
Head of Biology,GraySwan,ai-research,0,1,Lateral Labs,A,"US AI-native technical search for frontier startups spanning research through leadership, a strong fit for a research-leadership 'Head' hire at an AI safety company."
Head of Biology,GraySwan,ai-research,0,2,Riviera Partners,B,"Global technology-leadership executive search with a dedicated Head of AI/ML practice, well suited to a Head-level research-leadership appointment."
Head of Biology,GraySwan,ai-research,0,3,Vector,B,"US ML search that explicitly separates and places the research/research-engineering profile plus leadership, matching a research-heavy Head role and remote-US friendly."
Head of Biology,GraySwan,ai-research,0,4,Stellar Search,B,"US early-stage AI search with a named Research Engineers & Scientists practice and founding/leadership hires, reaching a research 'Head' for a US-remote seat."
Head of Biology,GraySwan,ai-research,0,5,Tykhe (Tykhe Inc),B,"US AI/ML boutique that places Heads of AI and research scientists, covering both the leadership and research dimensions of this role."
Senior AI Red Team Engineer,"Carnegie Mellon University, Software Engineering InstituteRe",cyber-offensive,0,1,RedBlue Security,A,"Hands-on offensive boutique posting cleared VR/CNO/exploit-dev mandates (TS/SCI), matching a defense-adjacent FFRDC red-team engineering role in the US."
Senior AI Red Team Engineer,"Carnegie Mellon University, Software Engineering InstituteRe",cyber-offensive,0,2,Code Red Partners,B,"US cybersecurity, AI and defense-technology search placing hands-on offensive security engineers/technical leads, aligned with SEI's AI-security-engineering brief."
Senior AI Red Team Engineer,"Carnegie Mellon University, Software Engineering InstituteRe",cyber-offensive,0,3,C-Serv,B,"Explicitly sources adversarial-ML engineers alongside cyber, reaching the AI-red-team engineering population with US staff."
Senior AI Red Team Engineer,"Carnegie Mellon University, Software Engineering InstituteRe",cyber-offensive,0,4,Hamilton Barnes,B,"Runs a hands-on red-team/adversary-simulation and pentest desk with North American coverage, reaching offensive engineers for a US seat."
"Managing Director, Europe",PourDemain,nonprofit-ops-exec,0,1,Prospectus,B,"UK not-for-profit executive search appointing cross-sector leaders to senior roles, the nearest bench fit for a European Managing Director and geographically closer to Brussels than the US houses."
"Managing Director, Europe",PourDemain,nonprofit-ops-exec,0,2,Harris Hill,B,"UK charity recruiter with genuine CEO/board-level executive search, reaching the top-leadership profile of an MD role in Europe."
"Managing Director, Europe",PourDemain,nonprofit-ops-exec,0,3,Impact Ops,B,"UK/global remote-first firm serving high-impact and EA-adjacent nonprofits (PourDemain's world), placing operational leaders, a mission and ops fit for an MD hire."
"Managing Director, Europe",PourDemain,nonprofit-ops-exec,0,4,Sandler Search,B,"Retained social-sector executive search placing senior executives internationally, giving global reach for a Brussels-based leadership appointment."
Senior AI Security Researcher,"Carnegie Mellon University, Software EngineeringInstitute",cyber-offensive,0,1,RedBlue Security,A,"Offensive boutique covering vulnerability/security research and posting cleared research mandates (TS/SCI), matching a defense-adjacent FFRDC AI-security researcher role."
Senior AI Security Researcher,"Carnegie Mellon University, Software EngineeringInstitute",cyber-offensive,0,2,C-Serv,B,"Explicitly sources ML researchers and adversarial-ML engineers alongside cyber, reaching the AI-security research population with US staff."
Senior AI Security Researcher,"Carnegie Mellon University, Software EngineeringInstitute",cyber-offensive,0,3,Code Red Partners,B,"US cybersecurity, AI and defense-technology search reaching hands-on security researchers, aligned with SEI's AI-security research brief."
Senior AI Security Researcher,"Carnegie Mellon University, Software EngineeringInstitute",cyber-offensive,0,4,Adeptis Group,B,"Own-site competencies include malware analysis and threat hunting with US coverage, reaching research-oriented offensive-security talent for a US seat."
"Member of Technical Staff, Research",Model Evaluation and Threat Research,ai-research,350000,1,Lateral Labs,A,"ai-research fit; US geo vs role in Berkeley, CA, USA"
"Member of Technical Staff, Research",Model Evaluation and Threat Research,ai-research,350000,2,DeepRec.ai,B,"ai-research fit; global geo vs role in Berkeley, CA, USA"
"Member of Technical Staff, Research",Model Evaluation and Threat Research,ai-research,350000,3,Tykhe (Tykhe Inc),B,"ai-research fit; US geo vs role in Berkeley, CA, USA"
"Member of Technical Staff, Research",Model Evaluation and Threat Research,ai-research,350000,4,Codesearch AI,B,"ai-research fit; global geo vs role in Berkeley, CA, USA"
"Member of Technical Staff, Research",Model Evaluation and Threat Research,ai-research,350000,5,Vector,B,"ai-research fit; US geo vs role in Berkeley, CA, USA"
AI Security and Control Engineer,Apollo Research,cyber-offensive,212000,1,RedBlue Security,A,"cyber-offensive fit; global geo vs role in London, UK (visa sponsorship)"
AI Security and Control Engineer,Apollo Research,cyber-offensive,212000,2,Barclay Simpson,A,"cyber-offensive fit; UK geo vs role in London, UK (visa sponsorship)"
AI Security and Control Engineer,Apollo Research,cyber-offensive,212000,3,Code Red Partners,B,"cyber-offensive fit; global geo vs role in London, UK (visa sponsorship)"
AI Security and Control Engineer,Apollo Research,cyber-offensive,212000,4,Hamilton Barnes,B,"cyber-offensive fit; global geo vs role in London, UK (visa sponsorship)"
AI Security and Control Engineer,Apollo Research,cyber-offensive,212000,5,Adeptis Group,B,"cyber-offensive fit; global geo vs role in London, UK (visa sponsorship)"
Research Lead,FAR AI,ai-research,210000,1,Thayon,A,"ai-research fit; UK geo vs role in Remote, Global"
Research Lead,FAR AI,ai-research,210000,2,Axica,A,"ai-research fit; UK geo vs role in Remote, Global"
Research Lead,FAR AI,ai-research,210000,3,Lateral Labs,A,"ai-research fit; US geo vs role in Remote, Global"
Research Lead,FAR AI,ai-research,210000,4,DeepRec.ai,B,"ai-research fit; global geo vs role in Remote, Global"
Research Lead,FAR AI,ai-research,210000,5,Tykhe (Tykhe Inc),B,"ai-research fit; US geo vs role in Remote, Global"
"Jailbreaking Lead, Red Team",FAR AI,cyber-offensive,210000,1,RedBlue Security,A,"cyber-offensive fit; global geo vs role in Remote, Global"
"Jailbreaking Lead, Red Team",FAR AI,cyber-offensive,210000,2,Barclay Simpson,A,"cyber-offensive fit; UK geo vs role in Remote, Global"
"Jailbreaking Lead, Red Team",FAR AI,cyber-offensive,210000,3,Code Red Partners,B,"cyber-offensive fit; global geo vs role in Remote, Global"
"Jailbreaking Lead, Red Team",FAR AI,cyber-offensive,210000,4,Hamilton Barnes,B,"cyber-offensive fit; global geo vs role in Remote, Global"
"Jailbreaking Lead, Red Team",FAR AI,cyber-offensive,210000,5,Adeptis Group,B,"cyber-offensive fit; global geo vs role in Remote, Global"
Senior Security Engineer,Apollo Research,cyber-offensive,210000,1,RedBlue Security,A,"cyber-offensive fit; global geo vs role in London, UK (visa sponsorship)"
Senior Security Engineer,Apollo Research,cyber-offensive,210000,2,Barclay Simpson,A,"cyber-offensive fit; UK geo vs role in London, UK (visa sponsorship)"
Senior Security Engineer,Apollo Research,cyber-offensive,210000,3,Code Red Partners,B,"cyber-offensive fit; global geo vs role in London, UK (visa sponsorship)"
Senior Security Engineer,Apollo Research,cyber-offensive,210000,4,Hamilton Barnes,B,"cyber-offensive fit; global geo vs role in London, UK (visa sponsorship)"
Senior Security Engineer,Apollo Research,cyber-offensive,210000,5,Adeptis Group,B,"cyber-offensive fit; global geo vs role in London, UK (visa sponsorship)"
"Assistant General Counsel, AI, Emerging Technologies, and Strategic Agreements",RAND Corporation,ai-research,206500,1,Lateral Labs,A,ai-research fit; US geo vs role in USA (not shown)
"Assistant General Counsel, AI, Emerging Technologies, and Strategic Agreements",RAND Corporation,ai-research,206500,2,DeepRec.ai,B,ai-research fit; global geo vs role in USA (not shown)
"Assistant General Counsel, AI, Emerging Technologies, and Strategic Agreements",RAND Corporation,ai-research,206500,3,Tykhe (Tykhe Inc),B,ai-research fit; US geo vs role in USA (not shown)
"Assistant General Counsel, AI, Emerging Technologies, and Strategic Agreements",RAND Corporation,ai-research,206500,4,Codesearch AI,B,ai-research fit; global geo vs role in USA (not shown)
"Assistant General Counsel, AI, Emerging Technologies, and Strategic Agreements",RAND Corporation,ai-research,206500,5,Vector,B,ai-research fit; US geo vs role in USA (not shown)
Senior Research Engineer,FAR AI,ai-research,200000,1,Thayon,A,"ai-research fit; UK geo vs role in Remote, Global"
Senior Research Engineer,FAR AI,ai-research,200000,2,Axica,A,"ai-research fit; UK geo vs role in Remote, Global"
Senior Research Engineer,FAR AI,ai-research,200000,3,Lateral Labs,A,"ai-research fit; US geo vs role in Remote, Global"
Senior Research Engineer,FAR AI,ai-research,200000,4,DeepRec.ai,B,"ai-research fit; global geo vs role in Remote, Global"
Senior Research Engineer,FAR AI,ai-research,200000,5,Tykhe (Tykhe Inc),B,"ai-research fit; US geo vs role in Remote, Global"
Head of Communications and Public Relations,Apollo Research,ai-research,195000,1,Thayon,A,"ai-research fit; UK geo vs role in London, UK (visa sponsorship)"
Head of Communications and Public Relations,Apollo Research,ai-research,195000,2,Axica,A,"ai-research fit; UK geo vs role in London, UK (visa sponsorship)"
Head of Communications and Public Relations,Apollo Research,ai-research,195000,3,DeepRec.ai,B,"ai-research fit; global geo vs role in London, UK (visa sponsorship)"
Head of Communications and Public Relations,Apollo Research,ai-research,195000,4,Codesearch AI,B,"ai-research fit; global geo vs role in London, UK (visa sponsorship)"
Head of Communications and Public Relations,Apollo Research,ai-research,195000,5,ESPSG AI,B,"ai-research fit; UK geo vs role in London, UK (visa sponsorship)"
Head of People,Epoch AI,nonprofit-ops-exec,193000,1,Phillips Oppenheim,A,"nonprofit-ops-exec fit; US geo vs role in Remote, Global"
Head of People,Epoch AI,nonprofit-ops-exec,193000,2,Scion Executive Search,A,"nonprofit-ops-exec fit; US geo vs role in Remote, Global"
Head of People,Epoch AI,nonprofit-ops-exec,193000,3,LeaderFit,A,"nonprofit-ops-exec fit; US geo vs role in Remote, Global"
Head of People,Epoch AI,nonprofit-ops-exec,193000,4,Robertson Bell,A,"nonprofit-ops-exec fit; UK geo vs role in Remote, Global"
Head of People,Epoch AI,nonprofit-ops-exec,193000,5,Impact Ops,B,"nonprofit-ops-exec fit; UK geo vs role in Remote, Global"
"Research Scientist / Engineer, Evaluations",Apollo Research,ai-research,190000,1,Thayon,A,"ai-research fit; UK geo vs role in London, UK (visa sponsorship)"
"Research Scientist / Engineer, Evaluations",Apollo Research,ai-research,190000,2,Axica,A,"ai-research fit; UK geo vs role in London, UK (visa sponsorship)"
"Research Scientist / Engineer, Evaluations",Apollo Research,ai-research,190000,3,DeepRec.ai,B,"ai-research fit; global geo vs role in London, UK (visa sponsorship)"
"Research Scientist / Engineer, Evaluations",Apollo Research,ai-research,190000,4,Codesearch AI,B,"ai-research fit; global geo vs role in London, UK (visa sponsorship)"
"Research Scientist / Engineer, Evaluations",Apollo Research,ai-research,190000,5,ESPSG AI,B,"ai-research fit; UK geo vs role in London, UK (visa sponsorship)"
"Research Scientist / Engineer, Science of Scheming",Apollo Research,ai-research,190000,1,Thayon,A,"ai-research fit; UK geo vs role in London, UK (visa sponsorship)"
"Research Scientist / Engineer, Science of Scheming",Apollo Research,ai-research,190000,2,Axica,A,"ai-research fit; UK geo vs role in London, UK (visa sponsorship)"
"Research Scientist / Engineer, Science of Scheming",Apollo Research,ai-research,190000,3,DeepRec.ai,B,"ai-research fit; global geo vs role in London, UK (visa sponsorship)"
"Research Scientist / Engineer, Science of Scheming",Apollo Research,ai-research,190000,4,Codesearch AI,B,"ai-research fit; global geo vs role in London, UK (visa sponsorship)"
"Research Scientist / Engineer, Science of Scheming",Apollo Research,ai-research,190000,5,ESPSG AI,B,"ai-research fit; UK geo vs role in London, UK (visa sponsorship)"
Head of Operations / Chief Operating Officer,Encode,nonprofit-ops-exec,185000,1,Phillips Oppenheim,A,"nonprofit-ops-exec fit; US geo vs role in Remote, USA"
Head of Operations / Chief Operating Officer,Encode,nonprofit-ops-exec,185000,2,Scion Executive Search,A,"nonprofit-ops-exec fit; US geo vs role in Remote, USA"
Head of Operations / Chief Operating Officer,Encode,nonprofit-ops-exec,185000,3,LeaderFit,A,"nonprofit-ops-exec fit; US geo vs role in Remote, USA"
Head of Operations / Chief Operating Officer,Encode,nonprofit-ops-exec,185000,4,Robertson Bell,A,"nonprofit-ops-exec fit; UK geo vs role in Remote, USA"
Head of Operations / Chief Operating Officer,Encode,nonprofit-ops-exec,185000,5,Impact Ops,B,"nonprofit-ops-exec fit; UK geo vs role in Remote, USA"
"Applied Researcher, Monitoring",Apollo Research,ai-research,178000,1,Thayon,A,"ai-research fit; UK geo vs role in London, UK (visa sponsorship)"
"Applied Researcher, Monitoring",Apollo Research,ai-research,178000,2,Axica,A,"ai-research fit; UK geo vs role in London, UK (visa sponsorship)"
"Applied Researcher, Monitoring",Apollo Research,ai-research,178000,3,DeepRec.ai,B,"ai-research fit; global geo vs role in London, UK (visa sponsorship)"
"Applied Researcher, Monitoring",Apollo Research,ai-research,178000,4,Codesearch AI,B,"ai-research fit; global geo vs role in London, UK (visa sponsorship)"
"Applied Researcher, Monitoring",Apollo Research,ai-research,178000,5,ESPSG AI,B,"ai-research fit; UK geo vs role in London, UK (visa sponsorship)"
Researcher / Senior Researcher,Epoch AI,ai-research,175000,1,Thayon,A,"ai-research fit; UK geo vs role in Remote, Global"
Researcher / Senior Researcher,Epoch AI,ai-research,175000,2,Axica,A,"ai-research fit; UK geo vs role in Remote, Global"
Researcher / Senior Researcher,Epoch AI,ai-research,175000,3,Lateral Labs,A,"ai-research fit; US geo vs role in Remote, Global"
Researcher / Senior Researcher,Epoch AI,ai-research,175000,4,DeepRec.ai,B,"ai-research fit; global geo vs role in Remote, Global"
Researcher / Senior Researcher,Epoch AI,ai-research,175000,5,Tykhe (Tykhe Inc),B,"ai-research fit; US geo vs role in Remote, Global"
"Software Engineer, Benchmarking",Epoch AI,ai-research,162500,1,Thayon,A,"ai-research fit; UK geo vs role in Remote, Global"
"Software Engineer, Benchmarking",Epoch AI,ai-research,162500,2,Axica,A,"ai-research fit; UK geo vs role in Remote, Global"
"Software Engineer, Benchmarking",Epoch AI,ai-research,162500,3,Lateral Labs,A,"ai-research fit; US geo vs role in Remote, Global"
"Software Engineer, Benchmarking",Epoch AI,ai-research,162500,4,DeepRec.ai,B,"ai-research fit; global geo vs role in Remote, Global"
"Software Engineer, Benchmarking",Epoch AI,ai-research,162500,5,Tykhe (Tykhe Inc),B,"ai-research fit; US geo vs role in Remote, Global"
"Platform Lead, Laboratory Information Management System",SecureBio,ai-research,161000,1,Lateral Labs,A,"ai-research fit; US geo vs role in Boston metro area, USA"
"Platform Lead, Laboratory Information Management System",SecureBio,ai-research,161000,2,DeepRec.ai,B,"ai-research fit; global geo vs role in Boston metro area, USA"
"Platform Lead, Laboratory Information Management System",SecureBio,ai-research,161000,3,Tykhe (Tykhe Inc),B,"ai-research fit; US geo vs role in Boston metro area, USA"
"Platform Lead, Laboratory Information Management System",SecureBio,ai-research,161000,4,Codesearch AI,B,"ai-research fit; global geo vs role in Boston metro area, USA"
"Platform Lead, Laboratory Information Management System",SecureBio,ai-research,161000,5,Vector,B,"ai-research fit; US geo vs role in Boston metro area, USA"
"Economist, Scenarios and Modelling",WindfallTrust,ai-research,150000,1,Thayon,A,ai-research fit; UK geo vs role in Remote (USA)
"Economist, Scenarios and Modelling",WindfallTrust,ai-research,150000,2,Axica,A,ai-research fit; UK geo vs role in Remote (USA)
"Economist, Scenarios and Modelling",WindfallTrust,ai-research,150000,3,Lateral Labs,A,ai-research fit; US geo vs role in Remote (USA)
"Economist, Scenarios and Modelling",WindfallTrust,ai-research,150000,4,DeepRec.ai,B,ai-research fit; global geo vs role in Remote (USA)
"Economist, Scenarios and Modelling",WindfallTrust,ai-research,150000,5,Tykhe (Tykhe Inc),B,ai-research fit; US geo vs role in Remote (USA)
Senior Operations Manager,Encode,nonprofit-ops-exec,145000,1,Phillips Oppenheim,A,"nonprofit-ops-exec fit; US geo vs role in Remote, USA"
Senior Operations Manager,Encode,nonprofit-ops-exec,145000,2,Scion Executive Search,A,"nonprofit-ops-exec fit; US geo vs role in Remote, USA"
Senior Operations Manager,Encode,nonprofit-ops-exec,145000,3,LeaderFit,A,"nonprofit-ops-exec fit; US geo vs role in Remote, USA"
Senior Operations Manager,Encode,nonprofit-ops-exec,145000,4,Robertson Bell,A,"nonprofit-ops-exec fit; UK geo vs role in Remote, USA"
Senior Operations Manager,Encode,nonprofit-ops-exec,145000,5,Impact Ops,B,"nonprofit-ops-exec fit; UK geo vs role in Remote, USA"
"Associate, AI and Advanced Computing",SchmidtSciences,nonprofit-ops-exec,135000,1,Phillips Oppenheim,A,"nonprofit-ops-exec fit; US geo vs role in New York, NY, USA"
"Associate, AI and Advanced Computing",SchmidtSciences,nonprofit-ops-exec,135000,2,Scion Executive Search,A,"nonprofit-ops-exec fit; US geo vs role in New York, NY, USA"
"Associate, AI and Advanced Computing",SchmidtSciences,nonprofit-ops-exec,135000,3,LeaderFit,A,"nonprofit-ops-exec fit; US geo vs role in New York, NY, USA"
"Associate, AI and Advanced Computing",SchmidtSciences,nonprofit-ops-exec,135000,4,Cooper Coleman,B,"nonprofit-ops-exec fit; US geo vs role in New York, NY, USA"
"Associate, AI and Advanced Computing",SchmidtSciences,nonprofit-ops-exec,135000,5,Sandler Search,B,"nonprofit-ops-exec fit; US geo vs role in New York, NY, USA"
Head of Operations,BlueDot Impact,nonprofit-ops-exec,0,1,Robertson Bell,A,"nonprofit-ops-exec fit; UK geo vs role in London, UK / San Francisco, US"
Head of Operations,BlueDot Impact,nonprofit-ops-exec,0,2,Impact Ops,B,"nonprofit-ops-exec fit; UK geo vs role in London, UK / San Francisco, US"
Head of Operations,BlueDot Impact,nonprofit-ops-exec,0,3,Harris Hill,B,"nonprofit-ops-exec fit; UK geo vs role in London, UK / San Francisco, US"
Head of Operations,BlueDot Impact,nonprofit-ops-exec,0,4,Prospectus,B,"nonprofit-ops-exec fit; UK geo vs role in London, UK / San Francisco, US"
