icp_category,supply_cell,salary_mid_usd,title,org,location,experience,salary_text,role_type,posted,skills,icp_reason,description,source
B,nonprofit-ops-exec,125500,"Manager / Associate / Senior Associate, Special Projects",Institute for AI Policy and Strategy,"Remote, Global / Washington, DC metro area, USA",mid,$86-165k,permanent,,,"Real vacancy with an ops-generalist function that touches a real recruiter market, but the salary midpoint sits below ~$130k, the level spans junior, and the deadline is only 7 days out.","Ops-flavoured generalist role running special projects at an AI policy research nonprofit, hiring across junior-to-mid levels.",80k-orgpage
B,comms-marketing,125000,Policy Advisor,Control AI,"Washington, DC metro area, USA",Multiple experience levels,"$90,000 – $160,000",Full-time,17 August 2026,"Policy, Communications","real vacancy but $125,000 mid is under the fee bar",Brief members of Congress and the broader US government on the national security threat posed by superintelligent AI.,aisafety.com
B,nonprofit-ops-exec,125000,Workshop Lead,Cambridge Boston Alignment Initiative,"Boston metro area, USA","Junior (1–4 years experience), Mid (5–9 years experience)","$100,000 – $150,000",Full-time,11 August 2026,Operations,"real vacancy but $125,000 mid is under the fee bar",Own end-to-end planning and execution of Harvard-MIT AI safety workshops held 8 times yearly.,aisafety.com
B,nonprofit-ops-exec,124662,Finance and Compliance Manager,Safe AI Forum,"Remote (Europe)Remote (UK)Remote (USA)Remote (Canada)London, UK","Junior (1–4 years experience), Mid (5–9 years experience)","£105,268 – £122,690; $157,718 – $183,821; 219,712 CAD – 243,880 CAD; €121,314 – €134,658",Full-time,26 August 2026,Finance,"real vacancy but $124,662 mid is under the fee bar",Build SAIF's finance and compliance systems as the organisation scales across multiple jurisdictions.,aisafety.com
B,nonprofit-ops-exec,124000,People Operations Associate / Manager,Epoch AI,"Remote, Global",mid,$95-153k,permanent,,,Real ops vacancy with a recruiter market but the $124k midpoint sits just under the $130k threshold.,People operations role running HR processes for a remote research nonprofit.,80k-orgpage
B,nonprofit-ops-exec,120000,Portfolio Manager,Berkeley Existential Risk Initiative,Remote (Global),"Junior (1–4 years experience), Mid (5–9 years experience)","$90,000 – $150,000",Full-time,26 August 2026,Operations,"real vacancy but $120,000 mid is under the fee bar","Serve as a fractional COO for BERI's research projects, acting as their primary operational contact.",aisafety.com
B,comms-marketing,120000,"Engagement Manager, AI Risk",Good Impressions Media,Remote (Global),Mid (5–9 years experience),"$80,000 – $160,000",Full-time,31 July 2026,Communications,"real vacancy but $120,000 mid is under the fee bar",Lead paid advertising campaigns to educate decision makers on AI risk and recruit program participants.,aisafety.com
B,biosecurity-science,120000,Associate Scientist,SecureBio,"Boston metro area, USA",mid,$100-140k,permanent,,,Real lab-science vacancy in a supplied function but the $120k midpoint sits below the ~$130k bar.,Mid-level scientist working on metagenomic detection / screening science.,80k-orgpage
B,comms-marketing,117500,Communications Specialist,Epoch AI,Remote (Global),Junior (1–4 years experience),"$95,000 – $140,000",Full-time,10 August 2026,Communications,"real vacancy but $117,500 mid is under the fee bar","Execute Epoch AI's communications strategy across media, newsletters, social channels, and paid campaigns.",aisafety.com+80k-orgpage
B,nonprofit-ops-exec,112500,Operations Manager,Collider,"New York, NY, USA","Junior (1–4 years experience), Mid (5–9 years experience)","$100,000 – $125,000",Full-time,23 July 2026,Operations,"real vacancy but $112,500 mid is under the fee bar",Build and scale operational systems that keep the hub functioning with seamless member experience and efficient team operations.,aisafety.com
B,cyber-offensive,110000,"Tech Lead, GenAI Safety",Alice,"New York, NY, USA",Mid (5–9 years experience),"$105,000 – $115,000",Full-time,30 July 2026,"Research, Management, Information security","real vacancy but $110,000 mid is under the fee bar",Lead GenAI safety efforts by writing adversarial prompts and identifying model vulnerabilities.,aisafety.com
B,nonprofit-ops-exec,107500,Business Operations Associate / Senior Business Operations Associate,FAR AI,"San Francisco Bay Area, USA",Junior (1–4 years experience),"$90,000 – $125,000",Full-time,1 September 2026,"Operations, Finance","real vacancy but $107,500 mid is under the fee bar","Own FAR.AI's core operations across compliance, finance, HR, IT, and special projects as the organisation scales.",aisafety.com
B,nonprofit-ops-exec,105000,Executive Admin,SL5 TaskForce,"San Francisco Bay Area, USA","Entry-level, Junior (1–4 years experience)","$80,000 – $130,000",Full-time,18 August 2026,Operations,"real vacancy but $105,000 mid is under the fee bar","Support the CEO by managing calendar, communications, and administrative operations.",aisafety.com
B,nonprofit-ops-exec,102600,Operations Lead,Outcapped,Remote (Global),Mid (5–9 years experience),€40 – €55 per hour,Full-time,25 August 2026,"Operations, Management","real vacancy but $102,600 mid is under the fee bar","Own operational delivery for multiple mission-driven client organizations, personally executing compliance, HR, finance, and governance functions.",aisafety.com
B,nonprofit-ops-exec,100000,"Coordinator / Specialist, People Operations",Constellation,"San Francisco Bay Area, USA",Junior (1–4 years experience),"$80,000 – $120,000",Full-time,30 July 2026,Operations,"real vacancy but $100,000 mid is under the fee bar","Manage the day-to-day People Operations function, supporting onboarding, HRIS, benefits, compliance, and recruiting.",aisafety.com+80k-orgpage
B,nonprofit-ops-exec,100000,"Executive Assistant, Detection Leadership Team",SecureBio,"Boston metro area, USA",junior,$90-110k,permanent,,,Real ops vacancy with recruiter supply but junior and below the salary bar.,EA supporting the leadership of SecureBio's detection (NAO) work.,80k-orgpage
B,nonprofit-ops-exec,95885,"Production Coordinator / Associate, Studio Team","80,000Hours","London, UKRemote (UK)","Entry-level, Junior (1–4 years experience)","£67,000 – £84,000",Full-time,5 August 2026,Operations,"real vacancy but $95,885 mid is under the fee bar","Coordinate the podcast editing pipeline, assigning episodes, tracking capacity, and supporting technical recordings.",aisafety.com
B,ai-research,95250,Software Engineer,PauseAI,"London, UKUK",Junior (1–4 years experience),"£50,000 – £100,000",Full-time,1 September 2026,Software engineering,"real vacancy but $95,250 mid is under the fee bar",Be a full-stack solo developer building a complex web application that manages campaigns by integrating diverse data sources.,aisafety.com
B,ai-research,95250,"Research Manager, AI",ERA,"Cambridge, UK","Junior (1–4 years experience), Mid (5–9 years experience)","£60,000 – £90,000","Full-time, Part-time",13 August 2026,"Research, Management","real vacancy but $95,250 mid is under the fee bar",Guide ERA:AI fellows to scope and dir,aisafety.com
B,ai-research,95250,"Research Manager, AIxBio",ERA,"Cambridge, UK","Junior (1–4 years experience), Mid (5–9 years experience)","£60,000 – £90,000","Full-time, Part-time",13 August 2026,"Research, Management","real vacancy but $95,250 mid is under the fee bar","Support the AIxBio fellowship programme by guiding fellows in scoping projects and translating ambitious ideas into rigorous, decision-relevant work.",aisafety.com
B,nonprofit-ops-exec,95000,Operations Associate / Specialist,SecureBio,"Boston metro area, USA",junior,$80-110k,permanent,,,Real nonprofit-ops vacancy but junior and below the ~$130k bar.,Junior generalist operations role supporting the organisation.,80k-orgpage
B,nonprofit-ops-exec,91000,Office Manager,MATS Research,"Berkeley, CA, USA (possibly London)",junior,£55-80k,permanent,,,Real ops vacancy in a supplied function but junior and well below the ~$130k salary bar.,Junior office manager keeping MATS's physical operations running.,aisafety.com+80k-orgpage
B,nonprofit-ops-exec,91000,Executive Business Partner,MATS Research,"Berkeley, CA, USA (possibly London)",mid,£55-80k,permanent,,,"Real vacancy in nonprofit ops with recruiter supply, but salary midpoint ~$91k is below the bar.",Executive support / business partner role for MATS leadership.,aisafety.com+80k-orgpage
B,nonprofit-ops-exec,90000,Business Operations Associate,FAR AI,"San Francisco Bay Area, USA / Remote",junior,$80-100k,permanent,,,Real ops vacancy but junior with a $90k midpoint well below the salary bar.,Junior business operations associate supporting FAR AI's ops.,80k-orgpage
B,nonprofit-ops-exec,88900,Operations Associate / Specialist,AI Whistleblower Initiative,"London, UK","Junior (1–4 years experience), Mid (5–9 years experience)","£65,000 – £75,000",Full-time,25 August 2026,"Operations, Finance","real vacancy but $88,900 mid is under the fee bar","Build operational foundations for a scaling organization, managing processes across distributed teams and time zones.",aisafety.com
B,comms-marketing,87500,Digital Campaigns Manager,Humans in Control,Remote (USA),Junior (1–4 years experience),"$80,000 – $95,000",Full-time,24 August 2026,Communications,"real vacancy but $87,500 mid is under the fee bar",Build and run campaigns that turn public concern about AI into organized action.,aisafety.com
B,nonprofit-ops-exec,87500,IT Coordinator / IT Specialist,Constellation,"San Francisco Bay Area, USA",Junior (1–4 years experience),"$70,000 – $105,000",Full-time,19 August 2026,Operations,"real vacancy but $87,500 mid is under the fee bar",Provide hands-on IT support and maintain shared workspace operations for over 200 weekly users.,aisafety.com+80k-orgpage
B,nonprofit-ops-exec,82674,"AI Governance Roles, European Team",TheFuture Society,"Brussels, BelgiumRemote (Europe)",Multiple experience levels,"€53,900 – $99,200",Full-time,27 August 2026,"Policy, Research, Management","real vacancy but $82,674 mid is under the fee bar","Support European AI governance policy research, advocacy and stakeholder engagement activities.",aisafety.com
B,comms-marketing,80000,Social Media Manager,The Alliance for SecureAI,"Washington, DC metro area, USA",Junior (1–4 years experience),"$70,000 – $90,000",Full-time,25 August 2026,Communications,"real vacancy but $80,000 mid is under the fee bar","Manage The Alliance's social media presence, turning complex AI policy into compelling content for diverse audiences.",aisafety.com
B,nonprofit-ops-exec,80000,Executive Assistant,The AI PolicyNetwork,"Washington, DC metro area, USA",Entry-level,"$65,000 – $95,000",Full-time,4 August 2026,Operations,"real vacancy but $80,000 mid is under the fee bar",Work directly with the Executive Director to protect his time and keep leadership running smoothly.,aisafety.com
B,nonprofit-ops-exec,80000,Operations Coordinator,Constellation,"Berkeley / San Francisco Bay Area, USA",junior,$70-90k,permanent,,,Real vacancy but junior with an $80k midpoint far below the salary bar.,Junior operations coordinator for the workspace.,80k-orgpage
B,biosecurity-science,77500,Research Associate,SecureBio,"Boston metro area, USA",junior,$70-85k,permanent,,,Real lab-science vacancy with recruiter supply but junior and well below the salary bar.,Junior research associate supporting biosecurity lab science.,80k-orgpage
B,comms-marketing,76356,"Policy Expert, AI in Europe",The School for Moral Ambition,"Brussels, BelgiumParis, France",Mid (5–9 years experience),"€66,400 – €75,000",Full-time,1 September 2026,"Policy, Communications","real vacancy but $76,356 mid is under the fee bar",Help make sure top talent works on the future of AI and on getting expertise in front of the people writing the rules concerning AI.,aisafety.com
B,biosecurity-science,73000,Laboratory Operations Assistant,SecureBio,"Boston metro area, USA",junior,$35 per hour,permanent,,,Real vacancy in lab science but junior and hourly pay far below the ~$130k bar.,Junior assistant supporting day-to-day biosecurity laboratory operations.,80k-orgpage
B,ai-research,73000,Data Scientist,Epoch AI,"Remote, Global",junior,$30-40 per hour,contract,,,"Real technical role in a supplied market but hourly pay of $30-40 annualises to roughly $73k, well below the threshold.",Hourly-paid data scientist supporting Epoch's AI trends datasets.,80k-orgpage
B,nonprofit-ops-exec,70000,Executive Assistant to Cameron Berg,Reciprocal Research,Remote (Global),Junior (1–4 years experience),$30 – $40 per hour,Full-time,28 August 2026,Operations,"real vacancy but $70,000 mid is under the fee bar","Manage Cameron Berg's inbox, his voice on LinkedIn, and direct coordination with press, podcast hosts, and collaborators.",aisafety.com
B,nonprofit-ops-exec,70000,Community and Events Associate,Collider,"New York, NY, USA",Junior (1–4 years experience),"$60,000 – $80,000",Full-time,24 August 2026,Operations,"real vacancy but $70,000 mid is under the fee bar","Manage day-to-day office operations, coordinate events, and build community for a mission-driven organization.",aisafety.com
B,nonprofit-ops-exec,69850,Operations Specialist,PauseAI,"London, UKUK","Junior (1–4 years experience), Mid (5–9 years experience)","£30,000 – £80,000","Part-time, Full-time",1 September 2026,Operations,"real vacancy but $69,850 mid is under the fee bar","Manage operational and administrative foundations including tax compliance, event logistics and organisational systems.",aisafety.com
B,nonprofit-ops-exec,59400,Research Operations Lead,Safe AI Netherlands,"Amsterdam, Netherlands","Junior (1–4 years experience), Mid (5–9 years experience)","€50,000 – €60,000",Full-time,1 September 2026,"Operations, Strategy, Management","real vacancy but $59,400 mid is under the fee bar","Lead the Research Hub end-to-end, connecting Dutch researchers with supervisors to conduct and publish AI safety research.",aisafety.com
B,nonprofit-ops-exec,57000,Finance Associate,Apollo Research,"London, UK (visa sponsorship)",junior,£40-50k,permanent,,,Nonprofit finance has a recruiter market but the ~$57k midpoint is far below the $130k threshold.,Junior finance role supporting a nonprofit research org's operations.,80k-orgpage
B,nonprofit-ops-exec,56700,Operations Manager,General-Purpose AI Policy Lab,"Paris, France",Mid (5–9 years experience),"€45,000 – €60,000",Full-time,21 July 2026,"Operations, Finance","real vacancy but $56,700 mid is under the fee bar",Manage oper,aisafety.com
B,comms-marketing,54400,Associate Editor,Lawfare Institute,Remote (USA),Entry-level,"$48,800 – $60,000",Full-time,30 July 2026,"Other, Communications","real vacancy but $54,400 mid is under the fee bar","Focus on how artificial intelligence increasingly intersects with national security relevant domains, as well as law and policy.",aisafety.com
B,nonprofit-ops-exec,53975,Community Organiser,PauseAI,"London, UKUK",Junior (1–4 years experience),"£25,000 – £60,000","Part-time, Full-time",1 September 2026,Operations,"real vacancy but $53,975 mid is under the fee bar",Work with volunteers to maximise their impact through PauseAI initiatives.,aisafety.com
B,ai-research,47692,"Research Assistant, AI Safety","Oxford University, Department of Compute","Oxford, UK",Entry-level,"£35,681 – £39,424",Full-time,25 August 2026,"Research, Software engineering","real vacancy but $47,692 mid is under the fee bar",,aisafety.com
B,nonprofit-ops-exec,47450,Workspace and Design Coordinator,TrajectoryLabs,"Toronto, Canada","Junior (1–4 years experience), Mid (5–9 years experience)","$50,000 – $80,000 CAD",Full-time,31 August 2026,Operations,"real vacancy but $47,450 mid is under the fee bar",Cultivate and maintain a high-functioning workspace that supports diverse practitioner needs and preferences.,aisafety.com
B,nonprofit-ops-exec,47450,Data and Finance Assistant / Associate,TrajectoryLabs,"Toronto, Canada","Junior (1–4 years experience), Mid (5–9 years experience)","$50,000 – $80,000 CAD",Full-time,31 August 2026,"Operations, Finance","real vacancy but $47,450 mid is under the fee bar",Organize and manage data systems to support decision-making across operations and finance.,aisafety.com
B,none,33000,Field Sampler,SecureBio,"Boston metro area, USA",junior,"$16, $0.20 per swab collected",contract,,,Technically a real vacancy but entry-level piece-rate field labour with pay far too low for any placement fee.,Entry-level piece-rate field worker collecting environmental swab samples.,80k-orgpage
B,ai-research,20000,Corrigibility Research Fund,Lightcone Infrastructure,Remote (Global),Multiple experience levels,"$5,000 – $35,000 grant",Funding,17 August 2026,Research,"real vacancy but $20,000 mid is under the fee bar",Funds research on AI systems that advances understanding of AI corrigibility.,aisafety.com
B,ai-research,19050,LASR Labs Programme (Winter 2027),London AI Safety Research Labs,"London, UK","Entry-level, Junior (1–4 years experience)","£15,000 stipend","Full-time, Other",20 August 2026,"Research, Software engineering","real vacancy but $19,050 mid is under the fee bar",Work in a team of three to four to develop an AI safety research project from proposal to publication over 13 weeks.,aisafety.com
B,ai-research,10000,"Request for Proposals, AI Safety Grant",Foresight Institute,Remote (Global),Multiple experience levels,"Starting: $10,000 award",Funding,6 August 2026,Research,"real vacancy but $10,000 mid is under the fee bar",Grants are awarded for projects in two AI safety-relevant areas: secure AI and neurotechnology for safe AI.,aisafety.com
B,comms-marketing,2000,"Distributed Organizer, Contractor",New Movement Organization for AIRegulation,Remote (USA),Junior (1–4 years experience),"$2,000 per week",Full-time,17 August 2026,Communications,"real vacancy but $2,000 mid is under the fee bar",Recruit and coach student leaders to organise AI walkout campaigns on college campuses as part of a national movement.,aisafety.com
B,cyber-offensive,0,Platform Engineer,LawZero,"Montreal, Canada","Junior (1–4 years experience), Mid (5–9 years experience)",,Full-time,31 August 2026,"Software engineering, Information security","real vacancy, salary unknown - verify before working","Own the platform layer between researchers and GPU infrastructure, managing Kubernetes, CI/CD, and cloud environments.",aisafety.com
B,cyber-offensive,0,Security Research Engineer,AI Verification and Evaluation Research Institute,Remote (USA)Remote (Mexico)Remote (Canada),Mid (5–9 years experience),,Full-time,31 August 2026,Information security,"real vacancy, salary unknown - verify before working",Conduct security research to develop and define AI auditing methodologies within this emerging field.,aisafety.com
B,cyber-offensive,0,AI Cyber Red Teamer,"Trajectory Labs, PBC",Remote (Global),"Junior (1–4 years experience), Mid (5–9 years experience)",,Full-time,28 August 2026,Information security,"real vacancy, salary unknown - verify before working",Attack the cyber safeguards of frontier AI models to find vulnerabilities and help train them out.,aisafety.com
B,comms-marketing,0,"Team Member, Lab Engagement",Encode,"Washington, DC metro area, USASan Francisco Bay Area, USA",Junior (1–4 years experience),,Full-time,25 August 2026,Communications,"real vacancy, salary unknown - verify before working","Coordinate Encode's SF lab engagement, building systems to amplify employee voices.",aisafety.com+80k-orgpage
B,ai-research,0,"Postdoc, Mechanistic Understanding of AI Reasoning","University ofCopenhagen, Department of Computer Science","Copenhagen, Denmark",Junior (1–4 years experience),,Full-time,20 August 2026,Research,"real vacancy, salary unknown - verify before working",Conduct postdoctoral research on mechanistic interpretability and AI reasoning in the ERC-funded ExplainYourself project.,aisafety.com
B,nonprofit-ops-exec,0,Head of Operations,AIGSCanada,"Ottawa, CanadaMontreal, CanadaToronto, Canada",Mid (5–9 years experience),,Full-time,19 August 2026,"Operations, Finance","real vacancy, salary unknown - verify before working","Build AIGS's operational backbone, establishing finance, teams, compliance, and tech infrastructure.",aisafety.com
B,cyber-offensive,0,AI Security Researcher,MiniMax,"Beijing, ChinaShanghai, China",Mid (5–9 years experience),,Full-time,19 August 2026,"Research, Information security","real vacancy, salary unknown - verify before working",Combine security expertise with large language models to build AI security capabilities through standardized datasets and benchmarks.,aisafety.com
B,cyber-offensive,0,"Principal Researcher, AI Security",Alice,"Tel Aviv, Israel",Mid (5–9 years experience),,Full-time,19 August 2026,"Strategy, Management, Information security","real vacancy, salary unknown - verify before working","Lead and scale multidisciplinary AI security teams focused on red teaming, adversarial testing, and AI vulnerability research.",aisafety.com
B,comms-marketing,0,Head of Communications,AIGSCanada,"Ottawa, CanadaMontreal, CanadaToronto, Canada",Mid (5–9 years experience),,Full-time,19 August 2026,Communications,"real vacancy, salary unknown - verify before working",Lead all communications to amplify AIGS's profile as Canada's leading AI policy voice.,aisafety.com
B,nonprofit-ops-exec,0,Business Operations Generalist,Constellation,"San Francisco Bay Area, USA","Junior (1–4 years experience), Mid (5–9 years experience)",,Full-time,19 August 2026,"Operations, Finance","real vacancy, salary unknown - verify before working","Support accounting, finance, compliance, and audit processes while building scalable operational systems.",aisafety.com+80k-orgpage
B,cyber-offensive,0,Associate AI Red Team Engineer,"Carnegie Mellon University, Software Engineering InstituteRe","Pittsburgh, PA, USA","Entry-level, Junior (1–4 years experience)",,Full-time,19 August 2026,"Software engineering, Information security","real vacancy, salary unknown - verify before working",d team real-world AI-enabled systems in support of national security objectives.,aisafety.com
B,ai-research,0,"Project Manager, Pilot Audits",AI Verification and Evaluation Research Institute,Remote (USA),"Junior (1–4 years experience), Mid (5–9 years experience)",,Full-time,19 August 2026,"Research, Strategy, Operations","real vacancy, salary unknown - verify before working",Lead pilot audit projects to establish frontier AI auditing as a new professional discipline.,aisafety.com
B,cyber-offensive,0,Member of Technical Staff,Lucid Computing,"London, UKSan Francisco Bay Area, USA",Multiple experience levels,,Full-time,17 August 2026,"Software engineering, Information security, Engineering","real vacancy, salary unknown - verify before working",Build verifiable compute infrastructure producing cryptographic evidence about AI hardware operations and integrity.,aisafety.com
B,ai-research,0,"Grant, Transformative AI Fund",Centre for Effective Altruism,Remote (Global),Multiple experience levels,,Funding,12 August 2026,"Strategy, Research","real vacancy, salary unknown - verify before working","Early-stage grants to individuals, new organizations, and existing organizations with new projects, addressing transformative AI, with a primary focus on reducing global catastrophic risks from advanced AI systems.",aisafety.com+80k-orgpage
B,ai-research,0,Research Scientist,Faculty,"London, UK","Junior (1–4 years experience), Mid (5–9 years experience)",,Full-time,10 August 2026,"Research, Software engineering","real vacancy, salary unknown - verify before working",Conduct original technical research in AI safety by designing and executing experiments to study model behavior.,aisafety.com
B,cyber-offensive,0,"Team Member, AIUC-1 Standard",Artificial Intelligence Underwriting Company,"San Francisco Bay Area, USA","Junior (1–4 years experience), Mid (5–9 years experience)",,Full-time,10 August 2026,"Research, Strategy, Information security","real vacancy, salary unknown - verify before working","Lead theAIUC-1 standard, shaping security controls with 250 Fortune 1000 consortium members.",aisafety.com
B,cyber-offensive,0,AI Security Researcher,"Carnegie Mellon University, Software EngineeringInstitute","Pittsburgh, PA, USA","Junior (1–4 years experience), Mid (5–9 years experience)",,Full-time,4 August 2026,"Research, Information security","real vacancy, salary unknown - verify before working","Advance AI security through vulnerability discovery, robustness analysis, and development of new security methodologies.",aisafety.com
B,ai-research,0,Senior Full-Stack Engineer,Irregular,"Tel Aviv, Israel",Mid (5–9 years experience),,Full-time,4 August 2026,Software engineering,"real vacancy, salary unknown - verify before working",Build and own full-stack product features end-to-end for next-generation AI security platforms.,aisafety.com
B,cyber-offensive,0,Assistant AI Security Software Engineer,"Carnegie Mellon University, Software EngineeringInstitute","Pittsburgh, PA, USA",Junior (1–4 years experience),,Full-time,4 August 2026,"Software engineering, Information security","real vacancy, salary unknown - verify before working",Use machine learning and software engineering practices to develop prototypes and tools for AI security.,aisafety.com
B,ai-research,0,Senior DevOps Engineer,Irregular,"Tel Aviv, Israel",Mid (5–9 years experience),,Full-time,4 August 2026,Software engineering,"real vacancy, salary unknown - verify before working","Own cloud infrastructure supporting frontier AI systems with enterprise-grade scalability, security, and reliability.",aisafety.com
B,ai-research,0,"Member of Technical Staff, Design Engineer",Valthos,Global,"Junior (1–4 years experience), Mid (5–9 years experience)",,Full-time,30 July 2026,Software engineering,"real vacancy, salary unknown - verify before working","Own the design and frontend implementation of core product experiences, from early concepts through production.",aisafety.com
B,comms-marketing,0,"Member of Technical Staff, Applied Computational Biology",Valthos,"New York, NY, USASan Francisco Bay Area, USA","Junior (1–4 years experience), Mid (5–9 years experience)",,Full-time,30 July 2026,Communications,"real vacancy, salary unknown - verify before working","Bridge research and customers, owning computational biology contributions to customer engagements and translating capabilities into solutions.",aisafety.com
B,cyber-offensive,0,Technical AI Safety Upskilling Resources,"80,000",Remote (Global),Multiple experience levels,,Other,27 July 2026,"Research, Software engineering, Engineering, Information security","real vacancy, salary unknown - verify before working","HoursSometimes, our advising team speaks to people who have enthusiasm for technical AI safety and a related skill set but need concrete ideas for how to enter the field.",aisafety.com
B,ai-research,0,"Senior Research Scientist, AI Safety Evaluations",Faculty,"London, UK",Mid (5–9 years experience),,Full-time,27 July 2026,Research,"real vacancy, salary unknown - verify before working",Lead the development of safety evaluations to quantify AI risks and drive original research in evaluation methodology.,aisafety.com
B,ai-research,0,Research Fund,Paradigm 3Paradigm 3 is funding research,Remote (Global),Multiple experience levels,,Funding,22 July 2026,Research,"real vacancy, salary unknown - verify before working",,aisafety.com
B,nonprofit-ops-exec,0,"Operations Admin Lead, Executive Office",LawZero,"Montreal, Canada",Junior (1–4 years experience),,Full-time,15 July 2026,Operations,"real vacancy, salary unknown - verify before working","Manage executive operations, coordinate with partner entities, and support strategic priorities.",aisafety.com
B,ai-research,0,Technical Staff,Redwood Research,"San Francisco Bay Area, USA (visa sponsorship)",mid,,permanent,,,"Real vacancy in the AI-ML research engineering market at a non-frontier-lab employer, but no salary is shown and the listing is tagged junior/mid rather than clearly senior, so torn A/B it goes to B.","Member-of-technical-staff style role doing AI safety/control research engineering at Redwood, tagged Junior (1-4 yrs) and Mid (5-9 yrs).",80k-orgpage
C,none,380000,Head of Emerging Technology and Security Initiative,Hewlett Foundation,"San Francisco Bay Area, USA",Senior (10+ years experience),"$360,000 – $400,000",Full-time,27 July 2026,Strategy,function without a recruiter supply market,"Lead a $100 million initiative addressing risks from emerging technologies including AI, biotech, and quantum computing.",aisafety.com
C,none,300000,General Counsel,FAR AI,"Remote (USA)San Francisco Bay Area, USA","Mid (5–9 years experience), Senior (10+ years experience)","$250,000 – $350,000",Full-time,20 July 2026,Legal,function without a recruiter supply market,"Build FAR.AI's legal infrastructure as the first General Counsel, establishing governance and controls that scale.",aisafety.com+80k-orgpage
C,none,275000,AI Resilience Partner,Convergent Research,"New York, NY, USARemote (USA)","Mid (5–9 years experience), Senior (10+ years experience)","$200,000 – $350,000",Full-time,1 September 2026,Strategy,function without a recruiter supply market,Create and own a portfolio of FROs and scientific projects advancing AI resilience and defensive capabilities.,aisafety.com
C,none,265000,"Policy Design Manager, Conventional Weapons",Anthropic,"San Francisco Bay Area, USANew York, NY, USAWashington, DC metro area, USA","Mid (5–9 years experience), Senior (10+ years experience)","$245,000 – $285,000",Full-time,27 August 2026,Strategy,function without a recruiter supply market,"Own and maintain Anthropic's conventional weapons policy, defining acceptable boundaries for AI model use.",aisafety.com+80k-orgpage
C,none,251000,Model Policy Manager,OpenAI,"San Francisco, USA",senior,$207-295k,permanent,,,Policy function has no recruiter supply market.,Manages model usage policy.,80k-orgpage
C,none,251000,"Team Member, Model Policy, Chemical and Biological Risk",OpenAI,"San Francisco, USA",mid,$207-295k,permanent,,,Policy function has no recruiter supply market.,Model policy work on chem/bio risk.,80k-orgpage
C,none,251000,"Team Member, Model Policy, Frontier Cyber Risk",OpenAI,"San Francisco, USA",unknown,$207-295k,permanent,,,Policy function has no recruiter supply market despite the cyber subject matter.,Model policy work on frontier cyber risk.,80k-orgpage
C,none,250000,"Regional Research Economist, Economic Research, London",Anthropic,"London, UK",mid,£180-190k,permanent,,,Research economics is outside the desk's recruiter supply markets.,Regional economist studying AI's economic effects.,80k-orgpage+80k-orgpage
C,none,230000,Senior Designer,Lightcone Infrastructure,"San Francisco Bay Area, USA",Mid (5–9 years experience),"$160,000 – $300,000",Full-time,24 August 2026,Other,function without a recruiter supply market,"Create beautiful, intuitive websites and lead large-scale design projects end-to-end.",aisafety.com
C,none,230000,"Senior Director, National Security",SL5 Task Force,"San Francisco Bay Area, USA",Senior (10+ years experience),"$180,000 – $280,000",Full-time,18 August 2026,Policy,policy function - no recruiter supply market exists,Developand maintain partnerships with US government and national security agencies on Security Level 5 datacenter standards.,aisafety.com
C,none,210000,Policy Director,CivAI,"San Francisco Bay Area, USAWashington, DC metro area, USA","Mid (5–9 years experience), Senior (10+ years experience)","$180,000 – $240,000",Full-time,31 August 2026,Policy,policy function - no recruiter supply market exists,Research policy solutions to mitigate advanced AI risks and serve as lead for policy research and communication.,aisafety.com
C,none,200000,Policy Advisor,Machine Intelligence Research Institute,"Washington, DC metro area, USA",Mid (5–9 years experience),"$100,000 – $300,000",Full-time,24 August 2026,Policy,policy function - no recruiter supply market exists,Conduct technical governance research and engage with policymakers to design policies reducing AI risks.,aisafety.com
C,none,200000,"Policy Director, Implementation and Government Talent",Secure AI Project,"Remote, USA",senior,$140-260k,permanent,,,"High salary but the function is policy implementation and government fieldbuilding, which lacks a recruiter supply market.",Policy director focused on legislative implementation and building government talent pipelines.,80k-orgpage
C,none,196500,"Governance Manager, Frontier AI Safety and Policy",Google DeepMind,"Washington, DC metro area, USALondon, UK",Mid (5–9 years experience),"$188,000 – $205,000",Full-time,18 August 2026,Strategy,function without a recruiter supply market,"Establish and oversee governance frameworks for frontier AI safety, connecting external standards with internal practices.",aisafety.com+80k-orgpage
C,none,192500,"Director, Federal Affairs",Encode,"Washington, DC metro area, USA",senior,$175-210k,permanent,,,"Despite senior title and strong salary, federal affairs is a policy/government-relations function, which the ICP treats as having no recruiter supply market.",Director leading Encode's federal legislative and government-affairs advocacy.,80k-orgpage
C,none,182000,"Research Resident, Emerging Technology and Security, Open Source",RAND Corporation,"Remote, USA",unknown,~$90-274k,contract,,,"Paid term research post, but think-tank policy research has no recruiter supply market.",Term research position on emerging tech and open-source security analysis.,80k-orgpage
C,none,182000,"Research Resident, AIxBio Threats and Mitigations",RAND Corporation,"Remote, USA",unknown,~$90-274k,contract,,,"Paid term research post, but it is threat/policy research rather than biosecurity lab science, so no recruiter market.",Term research position on AIxBio threat analysis and mitigations.,80k-orgpage
